Class_ID,Class_Name,Train_Images,Train_BBoxes
0,bab,204,216
1,baechu,426,1754
2,bean_sprouts,513,633
3,beef,432,831
4,bread,498,804
5,cabbage,549,1407
6,carrot,429,1830
7,chicken,361,542
8,cucumber,129,417
9,cut_mackerel,240,711
10,dubu,243,429
11,eggplant,339,822
12,eggs,144,1322
13,fishcake,482,611
14,garlic,354,1467
15,garlic_clove,288,1542
16,ginger,513,1158
17,kimchi,251,284
18,leek,519,822
19,mackerel,251,723
20,onion,576,1146
21,paprika,444,1887
22,peeled_shrimp,162,1416
23,perilla,374,716
24,pork,525,609
25,potato,165,1715
26,radish,215,841
27,shrimp,321,1518
28,squash,618,1881
29,squid,489,819
30,sweet_potato,245,756
