trial,mAP50,lr0,momentum,weight_decay,optimizer
0,0.0,1.7543133032407303e-05,0.7668516481603928,0.007655911389320438,Adam
1,0.0,0.00015140791871317901,0.7448168538123688,0.0027118121647255466,AdamW
2,0.0,0.0012869207411385082,0.9294820501120231,0.0009734222844497664,Adam
3,0.0,0.0007151230705812121,0.7428743647490518,0.0069684887335643465,Adam
4,0.0,0.003005314007500686,0.8509873011369747,0.005589191846943888,AdamW
5,0.0,6.229894737563112e-05,0.783478222893163,0.009134261364127262,Adam
6,0.0,0.001104137101707013,0.7385687183677738,0.004763510837115122,SGD
7,0.0,0.005472400163219377,0.9094663095208971,0.00670330765455878,Adam
8,0.0,0.001567811759239716,0.8163158472665027,0.0035258855821393553,SGD
9,0.0,0.00021140512049036008,0.801810856292154,0.008391602176623143,Adam
10,0.0,1.5817421511826925e-05,0.7015859431200802,0.009455826920216017,SGD
11,0.0,1.3408929510711225e-05,0.8612253126690682,0.002334594667676526,AdamW
12,0.0,7.281609266170836e-05,0.7580505796735026,0.00031535001541634685,AdamW
13,0.0,5.192742897508555e-05,0.7032662326090819,0.004078057223050957,AdamW
14,0.0,0.0002550525081693566,0.7722029500050613,0.002513357716710684,AdamW
15,0.0,2.326711495816926e-05,0.830247289867555,0.007575519395066934,Adam
16,0.0,0.00011891503112304157,0.8896339737968176,0.005796244879140798,AdamW
17,0.0,0.0003726802252940524,0.7317033648244379,0.0028964969041489043,Adam
18,0.0,2.749558632993549e-05,0.9615210965258688,0.009977392670057494,AdamW
19,0.0,3.610123988036044e-05,0.7911907154540141,0.0017366368782039518,SGD
20,0.0,0.00012545244724911523,0.7232348427508025,0.004328850625949258,AdamW
