                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3292,                  2.484,                 1.5839,                0.65409,                0.59208,                0.65515,                0.36901,                 1.4741,                 1.5508,                 1.7032,              9.519e-05,              9.519e-05,              9.519e-05
                      2,                 1.2771,                 1.7272,                 1.5413,                0.60579,                0.59687,                0.62723,                0.38707,                 1.2899,                 1.4741,                 1.5626,             0.00018424,             0.00018424,             0.00018424
                      3,                 1.2746,                 1.6298,                 1.5571,                0.62983,                0.59139,                0.64419,                0.40463,                  1.267,                 1.3992,                 1.5872,             0.00026699,             0.00026699,             0.00026699
                      4,                  1.243,                 1.5159,                 1.5304,                0.64867,                0.60743,                 0.6478,                0.42355,                 1.1884,                 1.3751,                 1.5042,             0.00025769,             0.00025769,             0.00025769
                      5,                 1.1971,                 1.3684,                 1.4956,                0.66485,                0.64889,                 0.7097,                0.46948,                  1.212,                 1.1739,                 1.5348,             0.00024825,             0.00024825,             0.00024825
                      6,                 1.1638,                 1.2885,                 1.4793,                0.73118,                 0.7089,                0.75729,                0.51817,                 1.1535,                  1.035,                 1.4733,             0.00023881,             0.00023881,             0.00023881
                      7,                 1.1391,                 1.1912,                  1.459,                0.76357,                0.69529,                0.77564,                0.52176,                 1.1817,                0.98209,                 1.4822,             0.00022937,             0.00022937,             0.00022937
                      8,                 1.1097,                 1.1183,                 1.4425,                0.72448,                0.71183,                0.76619,                 0.5319,                 1.0993,                0.99685,                 1.4292,             0.00021993,             0.00021993,             0.00021993
                      9,                 1.0952,                 1.0711,                 1.4269,                0.75606,                 0.7337,                0.79649,                 0.5591,                 1.0681,                0.92184,                 1.4066,              0.0002105,              0.0002105,              0.0002105
                     10,                 1.0689,                 1.0087,                 1.4066,                0.78499,                0.71653,                0.80585,                0.57545,                 1.0648,                0.89411,                 1.4147,             0.00020106,             0.00020106,             0.00020106
                     11,                 1.0506,                0.96125,                 1.3847,                0.79955,                0.74525,                 0.8123,                0.58689,                 1.0446,                0.86875,                 1.3829,             0.00019162,             0.00019162,             0.00019162
                     12,                 1.0367,                0.93908,                  1.383,                0.73474,                0.76705,                0.81385,                0.57838,                 1.0371,                0.84202,                 1.3808,             0.00018218,             0.00018218,             0.00018218
                     13,                 1.0187,                0.90139,                 1.3666,                0.79993,                0.74432,                0.82165,                0.58837,                 1.0402,                0.82447,                 1.3828,             0.00017274,             0.00017274,             0.00017274
                     14,                 1.0028,                0.87279,                 1.3604,                0.80583,                0.76017,                0.83413,                0.59589,                 1.0446,                0.80244,                 1.3807,             0.00016331,             0.00016331,             0.00016331
                     15,                0.99766,                0.84049,                 1.3487,                0.76678,                0.80286,                0.84423,                0.60654,                 1.0271,                0.77794,                 1.3737,             0.00015387,             0.00015387,             0.00015387
