                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3937,                 2.8258,                 1.6144,                0.55062,                0.57599,                  0.583,                0.34378,                 1.4488,                 1.5535,                 1.6247,              9.519e-05,              9.519e-05,              9.519e-05
                      2,                 1.3095,                 1.7302,                  1.515,                0.53971,                0.63225,                0.60342,                0.37427,                 1.3145,                 1.5521,                 1.5436,             0.00018424,             0.00018424,             0.00018424
                      3,                 1.2833,                  1.593,                 1.5166,                0.63418,                0.60933,                 0.6278,                0.38218,                 1.3914,                 1.4177,                 1.5904,             0.00026699,             0.00026699,             0.00026699
                      4,                 1.2532,                 1.4871,                 1.4906,                 0.6923,                0.64005,                0.70074,                0.45231,                 1.2305,                 1.2677,                 1.4733,             0.00025769,             0.00025769,             0.00025769
                      5,                 1.2114,                 1.3687,                 1.4698,                0.72387,                0.65621,                0.73799,                0.48821,                 1.1977,                 1.1391,                 1.4943,             0.00024825,             0.00024825,             0.00024825
                      6,                 1.1856,                 1.2861,                 1.4493,                 0.7344,                0.66766,                0.73819,                0.48598,                 1.2201,                 1.1156,                 1.4699,             0.00023881,             0.00023881,             0.00023881
                      7,                 1.1603,                 1.2011,                 1.4318,                0.76688,                0.65169,                0.74739,                0.49488,                  1.217,                  1.085,                  1.478,             0.00022937,             0.00022937,             0.00022937
                      8,                 1.1368,                 1.1485,                 1.4173,                0.74365,                 0.6853,                0.75599,                0.51638,                 1.1377,                 1.0436,                 1.4156,             0.00021993,             0.00021993,             0.00021993
                      9,                 1.1213,                 1.1011,                  1.403,                0.74646,                0.73215,                0.77906,                0.53019,                 1.1524,                0.97235,                 1.4364,              0.0002105,              0.0002105,              0.0002105
                     10,                 1.1009,                 1.0514,                 1.3862,                0.73708,                0.73779,                0.77806,                0.53782,                 1.1332,                0.95875,                 1.4156,             0.00020106,             0.00020106,             0.00020106
                     11,                 1.0845,                 1.0073,                 1.3711,                0.78626,                 0.7359,                0.80113,                0.55291,                 1.1165,                0.91279,                  1.404,             0.00019162,             0.00019162,             0.00019162
                     12,                 1.0676,                0.98027,                 1.3658,                0.76936,                0.75088,                 0.8027,                0.55745,                  1.096,                0.89806,                 1.4007,             0.00018218,             0.00018218,             0.00018218
                     13,                 1.0574,                0.94506,                  1.355,                0.80085,                0.72839,                0.80785,                0.57346,                 1.0958,                0.88499,                 1.3804,             0.00017274,             0.00017274,             0.00017274
                     14,                 1.0355,                0.91953,                 1.3397,                0.80661,                0.71296,                0.80329,                0.56537,                 1.1186,                0.90232,                 1.4094,             0.00016331,             0.00016331,             0.00016331
