epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.823,1.34747,2.6352,1.61293,0.32139,0.57017,0.5659,0.33168,1.447,1.64268,1.61602,0.00332831,0.00332831,0.00332831
2,343.01,1.28927,1.75183,1.52223,0.27023,0.46108,0.50823,0.31562,1.40595,1.76151,1.63665,0.0065957,0.0065957,0.0065957
3,511.719,1.36057,1.87816,1.58604,0.32639,0.43084,0.44004,0.25745,1.47406,1.97999,1.72458,0.00979708,0.00979708,0.00979708
4,680.479,1.42073,2.00081,1.65358,0.42784,0.43639,0.45154,0.274,1.49813,2.19967,1.76497,0.009703,0.009703,0.009703
5,845.421,1.38461,1.85105,1.62097,0.40088,0.59379,0.63196,0.38631,1.44107,1.51923,1.71905,0.009604,0.009604,0.009604
6,1011.46,1.3484,1.72466,1.59303,0.53255,0.62887,0.6702,0.41031,1.39523,1.37955,1.65342,0.009505,0.009505,0.009505
7,1177.1,1.30896,1.59066,1.56023,0.47086,0.60272,0.68287,0.4311,1.33439,1.36402,1.60968,0.009406,0.009406,0.009406
8,1341.83,1.28232,1.519,1.5352,0.57254,0.57792,0.64594,0.38215,1.4495,1.50382,1.71284,0.009307,0.009307,0.009307
9,1506.3,1.26192,1.46098,1.51458,0.67378,0.65477,0.69843,0.44719,1.33358,1.29321,1.59898,0.009208,0.009208,0.009208
10,1686.46,1.24251,1.38291,1.49926,0.5976,0.63212,0.71502,0.47221,1.26541,1.26499,1.55013,0.009109,0.009109,0.009109
11,1851.06,1.22402,1.34375,1.48987,0.589,0.6551,0.71075,0.45822,1.29689,1.24949,1.55967,0.00901,0.00901,0.00901
12,2015.46,1.21235,1.28164,1.48022,0.64444,0.69569,0.76873,0.51252,1.2358,1.12928,1.51011,0.008911,0.008911,0.008911
13,2180.42,1.20129,1.26607,1.47172,0.5972,0.67898,0.73917,0.48715,1.27836,1.22586,1.5549,0.008812,0.008812,0.008812
14,2344.58,1.18792,1.227,1.45591,0.59041,0.67192,0.71272,0.46945,1.24214,1.16336,1.51253,0.008713,0.008713,0.008713
15,2509.31,1.17627,1.18917,1.45243,0.66224,0.73139,0.78773,0.53833,1.20115,1.05337,1.48842,0.008614,0.008614,0.008614
16,2673.45,1.16385,1.16741,1.44293,0.66185,0.67358,0.76574,0.51724,1.21821,1.09293,1.49052,0.008515,0.008515,0.008515
17,2838.09,1.15479,1.13776,1.43238,0.50334,0.72304,0.79441,0.54962,1.15854,0.9909,1.44892,0.008416,0.008416,0.008416
18,3002.4,1.13504,1.1079,1.42239,0.60297,0.73402,0.80537,0.5537,1.14352,1.0087,1.44115,0.008317,0.008317,0.008317
19,3166.81,1.13063,1.06803,1.41386,0.61848,0.7245,0.78642,0.54214,1.14991,1.02168,1.44884,0.008218,0.008218,0.008218
20,3331.35,1.1137,1.04203,1.40173,0.65322,0.75357,0.80071,0.56086,1.13431,0.94373,1.4352,0.008119,0.008119,0.008119
21,3495.68,1.10975,1.03161,1.406,0.72437,0.75967,0.80976,0.57374,1.12887,0.95271,1.43217,0.00802,0.00802,0.00802
22,3660.27,1.09678,1.00247,1.38771,0.69123,0.7633,0.81446,0.56914,1.11844,0.9351,1.40832,0.007921,0.007921,0.007921
23,3824.4,1.08759,0.99897,1.38805,0.70208,0.74776,0.82576,0.57822,1.11546,0.86184,1.41965,0.007822,0.007822,0.007822
24,3989.21,1.08479,0.9753,1.37484,0.7261,0.77276,0.8215,0.58089,1.11776,0.94838,1.41633,0.007723,0.007723,0.007723
25,4153.43,1.06853,0.96631,1.37244,0.72884,0.74328,0.82439,0.58111,1.1118,0.91337,1.41015,0.007624,0.007624,0.007624
26,4318.28,1.06153,0.9378,1.36134,0.71186,0.76064,0.82464,0.58455,1.10535,0.91172,1.39311,0.007525,0.007525,0.007525
27,4482.43,1.05524,0.92258,1.35273,0.71187,0.73135,0.80667,0.56326,1.12256,0.92988,1.41601,0.007426,0.007426,0.007426
28,4646.84,1.05216,0.90376,1.3506,0.77616,0.75941,0.83533,0.5955,1.08887,0.88656,1.39873,0.007327,0.007327,0.007327
29,4811.23,1.04026,0.90125,1.34743,0.75605,0.77366,0.82776,0.58548,1.11641,0.86834,1.41699,0.007228,0.007228,0.007228
30,4975.89,1.03422,0.88749,1.34043,0.75787,0.78626,0.8414,0.60434,1.07104,0.83412,1.38057,0.007129,0.007129,0.007129
31,5140.5,1.02522,0.87287,1.33486,0.82525,0.78261,0.8292,0.59303,1.08514,0.85482,1.38598,0.00703,0.00703,0.00703
