epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,766.782,1.2744,2.40941,1.46033,0.59909,0.48694,0.52136,0.33393,1.23601,1.44054,1.36757,0.00333168,0.00333168,0.00333168
2,5225.07,1.21527,1.6786,1.38387,0.61841,0.49101,0.53245,0.33953,1.25384,1.43967,1.4005,0.00659903,0.00659903,0.00659903
3,6568.07,1.26956,1.72891,1.42226,0.56891,0.4461,0.46251,0.28775,1.3212,1.62248,1.45629,0.00980038,0.00980038,0.00980038
4,7200.29,1.28995,1.75096,1.44188,0.68328,0.52439,0.58729,0.37924,1.26129,1.30435,1.41016,0.009703,0.009703,0.009703
5,10936.9,1.25391,1.58063,1.4169,0.72166,0.58702,0.65442,0.4291,1.21843,1.13386,1.38547,0.009604,0.009604,0.009604
6,16712.9,1.22242,1.46458,1.39591,0.74872,0.61326,0.6881,0.45782,1.1896,1.0391,1.3551,0.009505,0.009505,0.009505
7,19509.3,1.19634,1.36571,1.37438,0.78296,0.63655,0.7193,0.48629,1.16177,0.95788,1.32413,0.009406,0.009406,0.009406
8,20151.1,1.18301,1.30358,1.36441,0.80516,0.65944,0.74713,0.50871,1.13675,0.89756,1.29441,0.009307,0.009307,0.009307
9,22873.8,1.16238,1.24906,1.35094,0.81719,0.67466,0.7591,0.52531,1.11901,0.84742,1.29307,0.009208,0.009208,0.009208
10,25173,1.15053,1.19909,1.3381,0.83566,0.68179,0.77229,0.54086,1.09848,0.81275,1.2735,0.009109,0.009109,0.009109
11,27765.4,1.13655,1.15908,1.32798,0.84384,0.70108,0.78792,0.55331,1.08461,0.78022,1.24578,0.00901,0.00901,0.00901
12,30800.4,1.12691,1.13156,1.32292,0.85423,0.70178,0.7938,0.5627,1.07131,0.75686,1.24319,0.008911,0.008911,0.008911
13,35322.7,1.11256,1.1029,1.30883,0.85278,0.71884,0.80586,0.57639,1.05233,0.72274,1.2317,0.008812,0.008812,0.008812
14,38781.4,1.09944,1.07253,1.30393,0.85446,0.72796,0.81166,0.58634,1.03549,0.70465,1.2157,0.008713,0.008713,0.008713
15,43215.7,1.09104,1.04573,1.29184,0.8594,0.7358,0.81633,0.59415,1.02082,0.68469,1.19804,0.008614,0.008614,0.008614
16,46693.4,1.0801,1.02678,1.28737,0.87133,0.74248,0.82378,0.60365,1.00783,0.66426,1.19565,0.008515,0.008515,0.008515
17,50866.7,1.06875,1.0017,1.27836,0.87525,0.74501,0.82891,0.61,0.99748,0.6483,1.17864,0.008416,0.008416,0.008416
18,52857.3,1.06182,0.98729,1.27519,0.87657,0.75296,0.83289,0.61719,0.98501,0.63599,1.18532,0.008317,0.008317,0.008317
19,56518.9,1.05232,0.96639,1.26729,0.87691,0.75591,0.83468,0.62164,0.97428,0.62689,1.16981,0.008218,0.008218,0.008218
20,58467.8,1.04206,0.95198,1.25782,0.88015,0.75975,0.83945,0.62861,0.96483,0.61387,1.15271,0.008119,0.008119,0.008119
21,61201.2,1.03565,0.93901,1.25455,0.88252,0.76334,0.84297,0.63445,0.95324,0.60304,1.14749,0.00802,0.00802,0.00802
22,64089.7,1.02524,0.92365,1.25148,0.88323,0.76786,0.84538,0.63882,0.94381,0.59492,1.14286,0.007921,0.007921,0.007921
23,66250.3,1.02284,0.91666,1.24534,0.88454,0.76957,0.84708,0.64338,0.93603,0.58655,1.13629,0.007822,0.007822,0.007822
24,67556.4,1.01052,0.89565,1.236,0.88622,0.77345,0.84954,0.64746,0.92818,0.57946,1.12954,0.007723,0.007723,0.007723
25,69441.4,1.01112,0.88826,1.22815,0.88899,0.7736,0.85118,0.65095,0.91976,0.57337,1.11783,0.007624,0.007624,0.007624
26,73011.2,0.99844,0.8776,1.22295,0.88853,0.7764,0.85237,0.65438,0.91356,0.5671,1.11162,0.007525,0.007525,0.007525
